id,name,labels,entity_type,created_at,updated_at
ent_03c1e106,E-Prime software,Entity;Tool,Tool,2026-01-25T16:12:17.161000,
ent_061536bd,distinct advantages,Entity;Concept,Concept,2026-01-25T16:08:53.170000,
ent_068a20fd,Success rate,Entity;Metric,Metric,2026-01-25T16:08:54.403000,
ent_0a64d4f5,SSVEP recognition,Entity;Task,Task,2026-01-25T16:08:54.280000,
ent_0c7a3bae,Experimental protocol,Entity;Concept,Concept,2026-01-25T16:12:17.387000,
ent_0c8c3685,Canonical Correlation Analysis,Entity;Method,Method,2026-01-25T16:08:54.280000,
ent_12cd2df0,Epoching,Entity;Method,Method,2026-01-25T16:12:17.514000,
ent_12de27fd,emotional and cognitive processes,Entity;Concept,Concept,2026-01-25T16:12:17.755000,
ent_15c97783,EEG acquisition device,Entity;Tool,Tool,2026-01-25T16:08:53.332000,
ent_17eb4fe4,EEG-based haptic preference measurement technique,Entity;Method,Method,2026-01-25T16:12:18.371000,
ent_194dc6fa,AR Drone 2.0,Entity;Tool,Tool,2026-01-25T16:08:53.571000,
ent_197261b4,decision-making,Entity;Concept,Concept,2026-01-25T16:12:18.052000,
ent_1ea40c7f,Ng et al.,Entity;Finding,Finding,2026-01-25T16:08:54.669000,
ent_21dbeb6f,an amended metric from Fitt’s Law,Entity;Concept,Concept,2026-01-25T16:08:54.991000,
ent_22cf50f7,Haptic dial interface system,Entity;Tool,Tool,2026-01-25T16:12:17.281000,
ent_24b607b7,Wearable SSVEP-Based BCI System,Entity;Tool,Tool,2026-01-25T16:08:53.490000,
ent_25d33b83,broad application prospects,Entity;Concept,Concept,2026-01-25T16:08:52.763000,
ent_26403a25,Quadcopter,Entity;Concept,Concept,2026-01-25T16:08:54.019000,
ent_282bdee2,Yaw angle,Entity;Concept,Concept,2026-01-25T16:08:54.076000,
ent_2bbd4abf,Frontal alpha-band oscillations,Entity;Concept,Concept,2026-01-25T16:12:17.713000,
ent_2c8bda6d,high portability; powerful computational ability,Entity;Finding,Finding,2026-01-25T16:08:54.757000,
ent_2dd69ac2,Gamma-band oscillations,Entity;Concept,Concept,2026-01-25T16:12:17.596000,2026-01-25T16:12:17.972000
ent_2f59b302,sensory-cognitive dynamics and emotions,Entity;Concept,Concept,2026-01-25T16:12:17.929000,
ent_2f8dd041,Quadcopter BCI control,Entity;Task,Task,2026-01-25T16:08:53.068000,
ent_30054d2c,physical navigation experiment,Entity;Task,Task,2026-01-25T16:08:53.571000,
ent_3650b9a0,TMS 320 F 28335 digital signal processor controller,Entity;Tool,Tool,2026-01-25T16:12:17.099000,
ent_3a30e557,4.6 bits/min,Entity;Concept,Concept,2026-01-25T16:08:54.427000,
ent_3ac16e08,HMD,Entity;Tool,Tool,2026-01-25T16:08:54.617000,2026-01-25T16:08:54.757000
ent_3b40ae88,HTC VIVE,Entity;Tool,Tool,2026-01-25T16:08:53.409000,
ent_3f90275c,Sense of touch,Entity;Concept,Concept,2026-01-25T16:12:16.889000,
ent_3fa07db7,ITR proposed in this work,Entity;Metric,Metric,2026-01-25T16:08:54.991000,
ent_43677081,Raw signal,Entity;Concept,Concept,2026-01-25T16:08:54.223000,
ent_4570740a,EEG signal processing,Entity;Task,Task,2026-01-25T16:08:54.129000,
ent_462e49e3,0.73 s,Entity;Concept,Concept,2026-01-25T16:08:54.397000,
ent_4764a5f2,online accuracy in experiment I,Entity;Metric,Metric,2026-01-25T16:08:54.948000,
ent_4ac795b6,head along the facing line,Entity;Concept,Concept,2026-01-25T16:08:54.019000,
ent_4b3aeecb,decision-making process,Entity;Concept,Concept,2026-01-25T16:12:16.889000,
ent_5298e747,a reliable approach for BCI use,Entity;Finding,Finding,2026-01-25T16:08:54.894000,
ent_530cc657,synchronous BCI,Entity;Method,Method,2026-01-25T16:08:54.571000,
ent_5371c903,information transfer rate of up to 5.32 bits/s,Entity;Metric,Metric,2026-01-25T16:08:53.255000,2026-01-25T16:08:54.427000
ent_55d07ae5,navigation of a flight under physical 3D space,Entity;Task,Task,2026-01-25T16:08:54.848000,
ent_55e0d5b5,haptic profiles and common average reference methods,Entity;Concept,Concept,2026-01-25T16:12:17.514000,
ent_5926f79a,EEG data,Entity;Dataset,Dataset,2026-01-25T16:12:17.471000,
ent_5b9faac4,78%,Entity;Concept,Concept,2026-01-25T16:08:54.351000,2026-01-25T16:08:54.948000
ent_5c6ed452,1 to 5,Entity;Concept,Concept,2026-01-25T16:12:17.335000,
ent_5e3c9e67,portable and practical,Entity;Finding,Finding,2026-01-25T16:08:55.079000,
ent_62be1196,Mean accuracy,Entity;Metric,Metric,2026-01-25T16:08:54.351000,
ent_62d46dd4,Frontal gamma band oscillations,Entity;Finding,Finding,2026-01-25T16:12:18.325000,
ent_63343721,for displaying a 3D virtual scene,Entity;Concept,Concept,2026-01-25T16:08:53.409000,
ent_6567e11a,Emotiv Epoc,Entity;Tool,Tool,2026-01-25T16:08:53.332000,
ent_6d8c5678,visual valence,Entity;Concept,Concept,2026-01-25T16:12:17.673000,
ent_6f40067b,moment of dial rotation,Entity;Concept,Concept,2026-01-25T16:12:17.099000,
ent_755e01c8,BCI system,Entity;Method,Method,2026-01-25T16:08:54.475000,
ent_7e26fce7,Time efficiency,Entity;Metric,Metric,2026-01-25T16:08:54.408000,
ent_7e307466,BCI navigation,Entity;Method,Method,2026-01-25T16:08:54.521000,
ent_7edad61c,Profile A,Entity;Concept,Concept,2026-01-25T16:12:17.314000,
ent_87479ff8,largest value of Av,Entity;Concept,Concept,2026-01-25T16:12:17.320000,
ent_8a0d9271,EEGLAB,Entity;Tool,Tool,2026-01-25T16:12:17.471000,
ent_8bb55ce7,SSVEP-based BCI system,Entity;Tool,Tool,2026-01-25T16:08:54.802000,2026-01-25T16:08:54.848000
ent_8ca24c0c,visual-evoked amplitude increases with more distant proximity,Entity;Finding,Finding,2026-01-25T16:08:54.669000,
ent_8ddd007a,Right side of the prefrontal lobe,Entity;Concept,Concept,2026-01-25T16:12:18.129000,
ent_8fa6c470,Chien et al.,Entity;Finding,Finding,2026-01-25T16:08:54.713000,
ent_90a4dc60,Transitional duration,Entity;Metric,Metric,2026-01-25T16:08:54.397000,
ent_92d92738,smallest value of Av,Entity;Concept,Concept,2026-01-25T16:12:17.314000,
ent_9370dc54,customized mixed program between C++ and Matlab,Entity;Tool,Tool,2026-01-25T16:08:54.129000,
ent_97c64de2,affective valence,Entity;Concept,Concept,2026-01-25T16:12:17.713000,
ent_99b0c32f,novel,Entity;Concept,Concept,2026-01-25T16:12:18.371000,
ent_9b447416,Right frontal gamma oscillation,Entity;Finding,Finding,2026-01-25T16:12:18.178000,
ent_9b447416,right frontal areas,Entity;Concept,Concept,2026-01-25T16:12:18.178000,
ent_9f47ad62,head movement law,Entity;Concept,Concept,2026-01-25T16:08:53.647000,
ent_9fb5aa72,experimental setup and operational burden,Entity;Concept,Concept,2026-01-25T16:08:55.035000,
ent_a077467b,Haptic preference score (HPS),Entity;Metric,Metric,2026-01-25T16:12:17.335000,
ent_a077467b,Haptic profiles,Entity;Concept,Concept,2026-01-25T16:12:18.227000,
ent_a1828df1,Biosemi system,Entity;Tool,Tool,2026-01-25T16:12:17.048000,
ent_a3855c33,HPS = 1 or HPS = 5,Entity;Concept,Concept,2026-01-25T16:12:17.843000,
ent_a40b9b99,Experiment II,Entity;Dataset,Dataset,2026-01-25T16:08:53.721000,
ent_a6735218,object recognition and perception processing,Entity;Concept,Concept,2026-01-25T16:12:17.972000,
ent_a6c3daa1,haptic preferences,Entity;Concept,Concept,2026-01-25T16:12:17.281000,2026-01-25T16:12:18.013000
ent_a6c3daa1,Haptic preference scores (HPS),Entity;Metric,Metric,2026-01-25T16:12:17.801000,
ent_aec40644,Profile D,Entity;Concept,Concept,2026-01-25T16:12:17.320000,
ent_b06a569c,DSP embedded system,Entity;Tool,Tool,2026-01-25T16:12:17.220000,
ent_b12ff7a2,keyboard,Entity;Method,Method,2026-01-25T16:08:54.475000,
ent_b1455382,Lafleur et al.,Entity;Concept,Concept,2026-01-25T16:08:53.068000,
ent_b55570e6,critical role in tactile decision processing,Entity;Concept,Concept,2026-01-25T16:12:18.090000,
ent_b6139268,Prefrontal cortex,Entity;Concept,Concept,2026-01-25T16:12:18.052000,2026-01-25T16:12:18.090000
ent_bb5b3f0c,direction that corresponds to the stimulus,Entity;Concept,Concept,2026-01-25T16:08:53.901000,
ent_bd3392c5,higher SNR of SSVEP with small disparity angles,Entity;Finding,Finding,2026-01-25T16:08:54.713000,
ent_bee085d5,Brain-Computer Interface,Entity;Concept,Concept,2026-01-25T16:08:52.442000,2026-01-25T16:08:52.442000
ent_c2a61975,six runs,Entity;Concept,Concept,2026-01-25T16:12:17.387000,
ent_c31fbbd7,2-43 Hz,Entity;Concept,Concept,2026-01-25T16:08:54.223000,
ent_c380d9b4,Touch,Entity;Concept,Concept,2026-01-25T16:12:16.981000,
ent_c4ad29cb,search process,Entity;Task,Task,2026-01-25T16:08:54.076000,
ent_c82f1484,navigation performance of the system,Entity;Task,Task,2026-01-25T16:08:53.721000,
ent_cb64039b,asynchronous BCI,Entity;Method,Method,2026-01-25T16:08:54.571000,
ent_cbd2f218,very satisfied or very dissatisfied,Entity;Concept,Concept,2026-01-25T16:12:18.280000,
ent_cc8f231b,subtracting the baseline mean from every time point within an epoch and dividing this by the baseline standard deviation,Entity;Concept,Concept,2026-01-25T16:12:17.554000,
ent_cd3866ce,Middendorf et al.,Entity;Concept,Concept,2026-01-25T16:08:52.897000,
ent_cf948c7a,83.3%,Entity;Concept,Concept,2026-01-25T16:08:54.403000,
ent_d19dfb82,Method,Entity;Method,Method,2026-01-25T16:08:53.843000,
ent_d3a387f0,16 trials,Entity;Concept,Concept,2026-01-25T16:12:17.430000,
ent_d597ebfa,EEG signal and head pose data,Entity;Concept,Concept,2026-01-25T16:08:53.783000,
ent_d835a23c,Response times,Entity;Metric,Metric,2026-01-25T16:12:17.843000,2026-01-25T16:12:18.280000
ent_db53d75a,different HPSs,Entity;Concept,Concept,2026-01-25T16:12:18.227000,
ent_dcf79aec,providing immersive experience,Entity;Finding,Finding,2026-01-25T16:08:54.617000,
ent_dd9e1dd9,Unmanned aerial vehicle,Entity;Concept,Concept,2026-01-25T16:08:52.763000,
ent_e047282a,Beta-band oscillations,Entity;Concept,Concept,2026-01-25T16:12:17.755000,
ent_e066cdda,dial knob,Entity;Concept,Concept,2026-01-25T16:12:17.220000,
ent_e1e30fe6,HPS,Entity;Concept,Concept,2026-01-25T16:12:18.325000,
ent_e2897506,feeling-of-knowing judgments,Entity;Concept,Concept,2026-01-25T16:12:18.129000,
ent_e4092902,64-channel EEG data,Entity;Concept,Concept,2026-01-25T16:12:17.048000,
ent_e5be3045,cognitive processes,Entity;Concept,Concept,2026-01-25T16:12:17.885000,
ent_ea5234df,hover,Entity;Concept,Concept,2026-01-25T16:08:53.966000,
ent_ef5c0e59,impulse purchasing,Entity;Concept,Concept,2026-01-25T16:12:16.981000,
ent_ef7bd5af,Quadcopter Control,Entity;Task,Task,2026-01-25T16:08:53.490000,
ent_f492afa1,haptic profiles B and C,Entity;Dataset,Dataset,2026-01-25T16:12:17.801000,
ent_f8a8cd72,Right frontal gamma correlations,Entity;Finding,Finding,2026-01-25T16:12:18.013000,
ent_f8cdc50a,wearable HMD as the display device,Entity;Tool,Tool,2026-01-25T16:08:54.802000,
ent_f8cdc50a,HMD usage,Entity;Method,Method,2026-01-25T16:08:54.894000,
ent_f98123b8,transitional state from a steady state,Entity;Concept,Concept,2026-01-25T16:08:53.843000,2026-01-25T16:08:53.966000
ent_fa69efad,Quacopter,Entity;Tool,Tool,2026-01-25T16:08:53.901000,
ent_fc67dfbc,Experiment I,Entity;Dataset,Dataset,2026-01-25T16:08:53.647000,2026-01-25T16:08:53.783000
ent_fd3f99c0,Spectral power,Entity;Concept,Concept,2026-01-25T16:12:17.554000,
ent_fedfca8f,Task completion event,Entity;Concept,Concept,2026-01-25T16:12:17.161000,
ent_ffd8d8a2,Each run,Entity;Concept,Concept,2026-01-25T16:12:17.430000,
,Task,Ontology,,2026-01-25T15:59:56.281000,
,Method,Ontology,,2026-01-25T15:59:56.621000,
,Metric,Ontology,,2026-01-25T15:59:56.628000,
,Dataset,Ontology,,2026-01-25T15:59:56.633000,
,Tool,Ontology,,2026-01-25T15:59:56.637000,
,Finding,Ontology,,2026-01-25T15:59:56.647000,
,Concept,Ontology,,2026-01-25T15:59:56.651000,
